"Story","Title","Result","Date","Stability","Duration (s)"
"login","As user I have be able to success login","SUCCESS","2025-10-17T15:03:05.655923+07:00[Asia/Jakarta]","0.0","33.42"
"login","As user I have be able to failed login with invalid password","SUCCESS","2025-10-17T15:03:40.7244645+07:00[Asia/Jakarta]","0.0","7.84"
"login","As user I have be able to failed login with password not filled","SUCCESS","2025-10-17T15:03:49.2743317+07:00[Asia/Jakarta]","0.0","7.48"
"login","As user I have be able to failed login with email not filled","SUCCESS","2025-10-17T15:03:57.4203269+07:00[Asia/Jakarta]","0.0","4.85"
"login","As user I have be able to failed login with email and password not filled","SUCCESS","2025-10-17T15:04:02.6741268+07:00[Asia/Jakarta]","0.0","4.95"
"Logout","As a user I am able to successfully logout","SUCCESS","2025-10-17T15:04:08.030239+07:00[Asia/Jakarta]","0.0","22.53"
"Periode Management","Add period with start and end dates already in use","SUCCESS","2025-10-17T15:04:31.3581631+07:00[Asia/Jakarta]","0.0","36.14"
"Periode Management","Successfully add new periode","SUCCESS","2025-10-17T15:05:08.4869662+07:00[Asia/Jakarta]","0.0","37.24"
"Periode Management","Add periode with empty data","SUCCESS","2025-10-17T15:05:46.7693957+07:00[Asia/Jakarta]","0.0","33.55"
"Periode Management","Add a period with an end date earlier than the start date.","SUCCESS","2025-10-17T15:06:22.9686882+07:00[Asia/Jakarta]","0.0","38.62"
"Periode Management","Edit/ delete button disabled for completed period","SUCCESS","2025-10-17T15:07:02.2963556+07:00[Asia/Jakarta]","0.0","31.24"
"Periode Management","Automatically handle pause or continue based on current status","SUCCESS","2025-10-17T15:08:40.2294069+07:00[Asia/Jakarta]","0.0","41.8"
"Periode Management","Delete periods that have not started status","SUCCESS","2025-10-17T15:09:23.7973038+07:00[Asia/Jakarta]","0.0","36.3"
"Profile Management","Edit account name with random value","SUCCESS","2025-10-17T15:10:00.8721978+07:00[Asia/Jakarta]","0.0","49.73"
